Código,Movimento,Relevância (1-5),Proposta de tradução
3,Decisão ou Despacho,1,O juiz decidiu algo
332,Concedida a Antecipação de tutela,2,O pedido de urgência foi dado
339,Concedida a Medida Liminar,3,O pedido de urgência foi dado
151,Decisão ou Despacho Concessão de efeito suspensivo,4,O pedido de urgência foi dado
888,Decisão ou Despacho Concessão em parte,2,O pedido de urgência foi dado em parte
892,Concedida em parte a Medida Liminar,2,O pedido de urgência foi dado em parte
12185,Decisão Interlocutória de Mérito,1,Parte do processo foi decidida
11,Decisão ou Despacho Declaração,5,O processo andou
12307,Decretada a revelia,3,O réu não apresentou defesa
12444,Deferido o pedido de #{nome_da_parte}.,2,O pedido de #{nome} foi dado
378,Decisão ou Despacho Homologação,1,O acordo foi aceito pelo juiz
968,Decisão ou Despacho Não-Concessão,2,O pedido de urgência foi negado
792,Não Concedida a Medida Liminar,3,O pedido de urgência foi negado
12477,Não homologado,1,O acordo não foi aceito pelo juiz
12164,Proferidas outras decisões não especificadas,2,O juiz decidiu algo
348,Revogada a Medida Liminar,3,O juiz voltou atrás quanto ao pedido de urgência.
25,Processo Suspenso ou Sobrestado por,5,O processo está suspenso
272,"Processo Suspenso por depender do julgamento de outra causa, de outro juízo ou declaração incidente",5,O processo está suspenso
960,Processo Suspenso ou Sobrestado por Conflito de Competência,5,O processo está suspenso
270,Processo Suspenso por Convenção das Partes,5,O processo está suspenso
277,Processo Suspenso ou Sobrestado por Convenção das Partes para Cumprimento Voluntário da obrigação,5,O processo está suspenso
271,"Processo Suspenso por Exceção de Incompetência, suspeição ou Impedimento",5,O processo está suspenso
275,Processo Suspenso ou Sobrestado por Força maior,5,O processo está suspenso
279,Processo Suspenso ou Sobrestado por Incidente de Insanidade Mental,5,O processo está suspenso
268,Processo Suspenso por Morte ou perda da capacidade,5,O processo está suspenso. Procure seu advogado.
898,Processo Suspenso ou Sobrestado por Por decisão judicial,5,O processo está suspenso
11009,Proferido despacho,5,O juiz deu andamento ao processo
12068,Determinado o levantamento da suspensão ou do sobrestamento dos autos,3,O processo não está mais suspenso.
11010,Proferido despacho de mero expediente,5,O juiz deu andamento ao processo
11012,Processo Suspenso ou Sobrestado por Conflito de Competência,5,O processo está suspenso
11013,Processo Suspenso por Convenção das Partes,5,O processo está suspenso
11014,Processo Suspenso ou Sobrestado por Convenção das Partes para Cumprimento Voluntário da obrigação,5,O processo está suspenso
11015,"Processo Suspenso por Exceção de Incompetência, suspeição ou Impedimento",5,O processo está suspenso
11017,Processo Suspenso ou Sobrestado por Incidente de Insanidade Mental,5,O processo está suspenso
193,Julgamento,5,O processo está suspenso
385,Julgamento com Resolução de Mérito,1,O processo foi decidido.
12615,Realizada a Composição Civil,3,As partes realizaram um acordo
12187,Homologada a decisão do juiz leigo,1,O acordo foi aceito pelo juiz
466,Homologada a Transação,1,O acordo foi aceito pelo juiz
